ANN PSO,ANN gen,45,61,42,59,44,45,54,57,48,57,80,57,70,60,424,62,40,52,50,41,66,71,143,260,59,74,72,44,62,54,53,62,48,58,65,87,61,62,331,67,53,248,52,51,34,41,42,67,72,50,66,44,49,45,43,65,47,53,46,53,63,57,46,47,73,45,61,53,45,55,58,55,52,50,44,106,42,47,55,52,499,226,66,45,193,57,43,59,53,51,51,51,58,43,112,76,37,75,46,46
,n call ff,2820,3727,2529,3061,2645,2800,3241,3294,2877,3428,2681,3432,3137,2873,2159,2388,2170,3235,2961,2150,2280,2996,2123,3042,3403,3920,1724,2710,3469,2008,3129,3377,2341,2969,3782,3785,3604,3626,3719,3749,3219,1874,2447,2469,2139,2559,2623,3861,3560,2470,2953,2749,2987,2761,2700,3862,2907,3182,2809,3193,3682,2945,2404,2919,2016,2795,3085,3263,2781,3367,3455,3285,3172,2738,2750,3026,2272,2030,3015,3175,2845,2122,3598,2498,1607,3436,2447,3612,3158,2268,3112,2073,2300,2105,4189,4217,1840,3927,2569,2850
PSO,gen,50,108,56,66,44,57,62,42,48,61,46,499,50,58,49,43,91,79,48,66,51,93,44,61,67,61,51,43,213,50,68,40,50,92,44,67,61,87,75,73,80,50,86,396,53,48,60,49,68,45,51,52,110,79,63,55,45,73,100,70,66,39,49,58,76,61,55,73,75,73,499,52,44,74,45,54,47,44,60,110,105,64,54,54,172,64,55,47,66,66,59,91,38,76,76,42,37,77,78,46
,n call ff,3120,6600,3480,4080,2760,3540,3840,2640,3000,3780,2880,30060,3120,3600,3060,2700,5580,4860,3000,4080,3180,5700,2760,3780,4140,3780,3180,2700,12900,3120,4200,2520,3120,5640,2760,4140,3780,5340,4620,4500,4920,3120,5280,23880,3300,3000,3720,3060,4200,2820,3180,3240,6720,4860,3900,3420,2820,4500,6120,4320,4080,2460,3060,3600,4680,3780,3420,4500,4620,4500,30060,3240,2760,4560,2820,3360,2940,2760,3720,6720,6420,3960,3360,3360,10440,3960,3420,2940,4080,4080,3660,5580,2400,4680,4680,2640,2340,4740,4800,2880
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,100 trials,avg n call fitness function,avg n generation,n failure(s),max call ff w/o failure(s),min call ff,max gen w/o failure(s),min gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PSO,4720.8,76.68,2,23880,2340,396,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ANN PSO,2916.36,74.61,1,4217,1607,424,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,comparison,-38.22%,-2.70%,-50.00%,-82.34%,-31.32%,+7.07%,-8.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
