ANNPSO,gen,51,82,104,68,60,59,49,63,94,48,444,43,499,50,53,46,49,45,69,65,244,48,51,49,72,50,54,55,53,48,52,47,76,46,93,41,491,61,44,43,55,47,43,67,51,58,49,49,48,81,181,49,82,57,336,47,499,52,89,61,48,49,121,56,49,52,54,71,76,50,104,48,48,52,245,162,44,52,61,63,59,69,48,44,98,50,65,54,49,44,61,64,60,499,60,66,57,48,499,499
,n call ff,2894,4247,2613,2278,3636,2968,2490,3648,3884,2939,2166,2697,2527,2702,2583,2880,2997,2275,1673,2138,3193,2939,3105,3059,4189,2970,3178,3073,2397,2959,3047,2834,1795,2022,2264,2090,2666,3369,2736,2062,2790,2496,2668,4022,2621,2550,2660,3004,2906,4484,2924,2259,3963,3162,2486,2900,3428,3020,2355,3770,2961,2310,3809,2268,2995,3131,2518,3915,4121,3102,3749,2935,2779,2899,1989,2706,2738,3240,2062,3612,2787,2605,2915,2636,1778,3055,3826,2922,2969,2496,3429,3221,3630,2736,3449,3576,2435,2927,2217,2499
,output,-8.38774192,-9.54529106,-8.069532454,-9.081582341,-8.387741966,-8.216639293,-8.387737054,-8.522163132,-9.680968697,-8.827931092,-8.753605311,-8.155952069,-8.63942084,-8.419039676,-8.387741876,-8.387735549,-8.522917335,-8.387741966,-8.399821128,-9.079598599,-8.508462673,-8.387741814,-8.387736375,-8.156664885,-8.522919063,-8.320493799,-9.028933129,-9.028562384,-8.02404542,-8.387741806,-8.401415093,-8.177918172,-9.335565576,-8.271923144,-8.725333335,-8.069532454,-9.592891356,-8.41936405,-8.387740221,-8.271957105,-8.744360604,-8.387741739,-8.52291906,-8.833828755,-8.069532454,-9.083420149,-7.57535452,-8.387740887,-8.522913087,-9.288932224,-8.800582323,-8.271772039,-8.848755831,-9.028999786,-8.606193239,-8.387741966,-8.384503601,-8.522788723,-8.271765736,-8.466109581,-8.387741961,-8.368094267,-9.500429741,-8.647677403,-8.156678257,-8.522912944,-7.710140498,-8.17791838,-9.349336287,-8.387717238,-8.255369357,-8.442579059,-8.387741966,-8.135536342,-8.172486252,-8.163296074,-8.387741904,-8.466109581,-9.011287094,-8.472239182,-8.17791838,-8.387735438,-8.320494401,-8.387741966,-8.543697218,-8.156664885,-8.522919046,-8.345807934,-8.38773855,-8.263684924,-8.313095477,-8.745091886,-8.800481353,-9.212424312,-8.522918757,-8.569508398,-8.846500823,-8.156664885,-7.964501083,-8.566536226
PSO,gen,51,55,101,58,53,55,52,51,55,49,48,314,70,64,45,83,64,103,56,48,69,45,79,70,43,499,57,54,45,64,59,50,82,82,61,66,60,90,93,62,74,81,44,65,94,90,69,40,46,72,90,63,170,51,37,69,499,45,59,41,49,102,50,70,65,84,81,91,46,54,71,68,92,81,49,48,86,44,82,54,76,54,48,103,146,216,61,94,47,57,55,70,109,62,57,58,61,59,146,52
,n call ff,3180,3420,6180,3600,3300,3420,3240,3180,3420,3060,3000,18960,4320,3960,2820,5100,3960,6300,3480,3000,4260,2820,4860,4320,2700,30060,3540,3360,2820,3960,3660,3120,5040,5040,3780,4080,3720,5520,5700,3840,4560,4980,2760,4020,5760,5520,4260,2520,2880,4440,5520,3900,10320,3180,2340,4260,30060,2820,3660,2580,3060,6240,3120,4320,4020,5160,4980,5580,2880,3360,4380,4200,5640,4980,3060,3000,5280,2760,5040,3360,4680,3360,3000,6300,8880,13080,3780,5760,2940,3540,3420,4320,6660,3840,3540,3600,3780,3660,8880,3240
,output,-7.386013282,-8.780703038,-9.867737014,-8.983933673,-8.387741613,-8.353517775,-8.387741879,-8.185317161,-9.213548959,-8.313095397,-8.387741966,-10.00725483,-8.029981802,-8.522390487,-8.387735517,-8.678813817,-8.800994421,-8.93649181,-8.387740022,-8.516721957,-8.522904958,-8.387741966,-9.213548971,-8.285642154,-8.387739449,-10.82466204,-8.156664885,-8.387739327,-8.313095311,-8.184640577,-8.387741182,-8.387741955,-9.112914982,-8.556023976,-9.213548753,-8.679329244,-8.387741966,-8.954418044,-8.906187788,-8.848760024,-8.862425131,-9.650931022,-8.134480022,-9.349336277,-9.213548971,-9.213548898,-8.52281171,-8.387741965,-8.387736555,-8.690935398,-8.800700762,-9.213548971,-8.983936001,-8.387734477,-7.575355006,-8.936492774,-9.762299779,-8.387741707,-8.522919063,-8.387741962,-7.710525778,-8.678411693,-8.177918379,-9.030646372,-8.387741966,-8.9215178,-8.732975159,-9.105042468,-8.706842047,-8.387741938,-8.93646327,-8.450429466,-8.617261245,-8.92712764,-8.387741966,-8.387741963,-8.827931148,-8.401388257,-9.213548971,-8.387741571,-8.782942466,-8.387741957,-8.522919063,-8.827931148,-9.696392608,-9.853618371,-9.132296016,-8.71234089,-8.387741966,-8.982471264,-8.32049259,-8.679349283,-9.559048498,-8.927089617,-8.387741966,-9.08408267,-8.936492758,-8.74524009,-10.14194783,-8.387740882
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,avg output,avg n call ff,avg n gen,n failures,1st quartile,median,3rd quartile,avg output 1st quartile,avg n call ff 1st quartile ,avg output 2nd quartile,avg n call ff 2nd quartile ,avg output 3rd quartile,avg n call ff 3rd quartile ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANN,-8.519489612,2905.97,97.58,5,49,55,71.25,-8.327635003,2704.15625,-8.515391657,3006.418605,-8.434723072,2876.461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PSO,-8.728183314,4921.2,80.02,2,51.75,62,82,-8.668374921,2904,-8.5172101,3838.8,-8.88790857,8428.888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,time,,-40.95%,,,,,,,-6.88%,,-21.68%,,-65.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,precision,-2.39%,,,,,,,-3.93%,,-0.02%,,-5.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
